"area_name","time","rides"
"Lincoln Park","4.5-5.0","22"
"Lake View","0.0-0.5","760852"
"Lake View","0.5-1.0","98223"
"Lake View","1.0-1.5","7859"
"Lake View","1.5-2.0","522"
"Lake View","4.5-5.0","26"
"Lake View","3.0-3.5","68"
"Lake View","2.5-3.0","101"
"Lake View","2.0-2.5","192"
"Lake View","3.5-4.0","41"
"Lake View","4.0-4.5","22"
"Logan Square","0.0-0.5","145092"
"Logan Square","0.5-1.0","19747"
"Logan Square","2.5-3.0","37"
"Logan Square","3.0-3.5","28"
"Logan Square","2.0-2.5","69"
"Logan Square","1.5-2.0","146"
"Logan Square","1.0-1.5","1186"
"Logan Square","4.0-4.5","8"
"Logan Square","3.5-4.0","23"
"Logan Square","4.5-5.0","3"
"Uptown","0.0-0.5","236908"
"Uptown","0.5-1.0","30355"
"Uptown","1.5-2.0","346"
"Uptown","1.0-1.5","2296"
"Uptown","2.5-3.0","100"
"Uptown","4.5-5.0","29"
"Uptown","2.0-2.5","171"
"Uptown","3.5-4.0","67"
"Uptown","3.0-3.5","58"
"Uptown","4.0-4.5","33"
"West Ridge","0.0-0.5","69267"
"West Ridge","1.0-1.5","1108"
"West Ridge","0.5-1.0","15517"
"West Ridge","1.5-2.0","268"
"West Ridge","3.5-4.0","18"
"West Ridge","4.0-4.5","15"
"West Ridge","3.0-3.5","36"
"West Ridge","4.5-5.0","17"
"West Ridge","2.0-2.5","116"
"West Ridge","2.5-3.0","64"
"Archer Heights","0.0-0.5","1869"
"Archer Heights","0.5-1.0","670"
"Archer Heights","1.0-1.5","81"
"Archer Heights","2.0-2.5","1"
"Archer Heights","1.5-2.0","14"
"Archer Heights","4.0-4.5","1"
"Archer Heights","2.5-3.0","1"
"Archer Heights","4.5-5.0","1"
"Garfield Ridge","0.0-0.5","210216"
"Garfield Ridge","0.5-1.0","158323"
"Garfield Ridge","1.0-1.5","7686"
"Garfield Ridge","1.5-2.0","1002"
"Garfield Ridge","2.5-3.0","169"
"Garfield Ridge","2.0-2.5","339"
"Garfield Ridge","3.0-3.5","83"
"Garfield Ridge","4.0-4.5","26"
"Garfield Ridge","4.5-5.0","18"
"Garfield Ridge","3.5-4.0","25"
"Rogers Park","0.5-1.0","19070"
"Rogers Park","0.0-0.5","78779"
"Rogers Park","1.0-1.5","1191"
"Rogers Park","1.5-2.0","164"
"Rogers Park","2.0-2.5","73"
"Rogers Park","4.0-4.5","11"
"Rogers Park","2.5-3.0","52"
"Rogers Park","3.5-4.0","25"
"Rogers Park","4.5-5.0","11"
"Rogers Park","3.0-3.5","26"
"West Town","0.0-0.5","460551"
"West Town","0.5-1.0","39005"
"West Town","1.0-1.5","3498"
"West Town","1.5-2.0","356"
"West Town","2.5-3.0","75"
"West Town","3.0-3.5","31"
"West Town","2.0-2.5","124"
"West Town","4.0-4.5","18"
"West Town","3.5-4.0","16"
"West Town","4.5-5.0","9"
"Kenwood","0.0-0.5","29983"
"Kenwood","0.5-1.0","4762"
"Kenwood","2.0-2.5","42"
"Kenwood","1.0-1.5","762"
"Kenwood","3.5-4.0","7"
"Kenwood","3.0-3.5","27"
"Kenwood","1.5-2.0","111"
"Kenwood","2.5-3.0","28"
"Kenwood","4.5-5.0","5"
"Kenwood","4.0-4.5","8"
"Greater Grand Crossing","0.0-0.5","11948"
"Greater Grand Crossing","0.5-1.0","2923"
"Greater Grand Crossing","1.5-2.0","59"
"Greater Grand Crossing","1.0-1.5","268"
"Greater Grand Crossing","3.0-3.5","2"
"Greater Grand Crossing","2.0-2.5","21"
"Greater Grand Crossing","2.5-3.0","10"
"Greater Grand Crossing","3.5-4.0","3"
"Greater Grand Crossing","4.0-4.5","1"
"Greater Grand Crossing","4.5-5.0","3"
"Bridgeport","0.0-0.5","18236"
"Bridgeport","0.5-1.0","2023"
"Bridgeport","1.0-1.5","311"
"Bridgeport","2.0-2.5","20"
"Bridgeport","4.0-4.5","2"
"Bridgeport","2.5-3.0","10"
"Bridgeport","1.5-2.0","44"
"Bridgeport","3.5-4.0","1"
"Bridgeport","4.5-5.0","1"
"Bridgeport","3.0-3.5","2"
"Albany Park","0.0-0.5","51500"
"Albany Park","0.5-1.0","7426"
"Albany Park","1.0-1.5","491"
"Albany Park","3.0-3.5","10"
"Albany Park","1.5-2.0","93"
"Albany Park","2.0-2.5","50"
"Albany Park","2.5-3.0","23"
"Albany Park","3.5-4.0","8"
"Albany Park","4.0-4.5","3"
"Albany Park","4.5-5.0","1"
"Hyde Park","0.5-1.0","14550"
"Hyde Park","0.0-0.5","82376"
"Hyde Park","1.0-1.5","2549"
"Hyde Park","1.5-2.0","329"
"Hyde Park","2.0-2.5","56"
"Hyde Park","3.0-3.5","6"
"Hyde Park","2.5-3.0","26"
"Hyde Park","3.5-4.0","7"
"Hyde Park","4.0-4.5","9"
"Hyde Park","4.5-5.0","4"
"Armour Square","0.5-1.0","3977"
"Armour Square","0.0-0.5","42042"
"Armour Square","4.0-4.5","4"
"Armour Square","1.0-1.5","635"
"Armour Square","3.5-4.0","4"
"Armour Square","1.5-2.0","79"
"Armour Square","2.0-2.5","16"
"Armour Square","4.5-5.0","2"
"Armour Square","2.5-3.0","10"
"Armour Square","3.0-3.5","3"
"Grand Boulevard","0.5-1.0","2709"
"Grand Boulevard","0.0-0.5","21246"
"Grand Boulevard","1.5-2.0","60"
"Grand Boulevard","1.0-1.5","306"
"Grand Boulevard","3.5-4.0","5"
"Grand Boulevard","2.0-2.5","30"
"Grand Boulevard","3.0-3.5","6"
"Grand Boulevard","4.5-5.0","1"
"Grand Boulevard","2.5-3.0","11"
"Grand Boulevard","4.0-4.5","4"
"Lower West Side","0.0-0.5","34398"
"Lower West Side","0.5-1.0","3477"
"Lower West Side","1.5-2.0","73"
"Lower West Side","1.0-1.5","410"
"Lower West Side","2.5-3.0","11"
"Lower West Side","4.0-4.5","3"
"Lower West Side","3.0-3.5","9"
"Lower West Side","2.0-2.5","17"
"Lower West Side","4.5-5.0","2"
"Lower West Side","3.5-4.0","3"
"Avondale","0.0-0.5","44699"
"Avondale","0.5-1.0","6143"
"Avondale","2.5-3.0","16"
"Avondale","1.0-1.5","501"
"Avondale","1.5-2.0","114"
"Avondale","2.0-2.5","45"
"Avondale","3.0-3.5","14"
"Avondale","3.5-4.0","11"
"Avondale","4.5-5.0","3"
"Avondale","4.0-4.5","1"
"Humboldt Park","0.0-0.5","18853"
"Humboldt Park","0.5-1.0","4264"
"Humboldt Park","2.0-2.5","8"
"Humboldt Park","1.0-1.5","242"
"Humboldt Park","1.5-2.0","28"
"Humboldt Park","3.5-4.0","1"
"Humboldt Park","4.0-4.5","1"
"Humboldt Park","2.5-3.0","2"
"Humboldt Park","3.0-3.5","2"
"Roseland","0.5-1.0","3718"
"Roseland","0.0-0.5","9184"
"Roseland","1.0-1.5","293"
"Roseland","2.5-3.0","5"
"Roseland","3.0-3.5","5"
"Roseland","2.0-2.5","11"
"Roseland","1.5-2.0","41"
"Roseland","3.5-4.0","2"
"Ashburn","0.0-0.5","3257"
"Ashburn","0.5-1.0","2638"
"Ashburn","1.0-1.5","261"
"Ashburn","3.5-4.0","2"
"Ashburn","2.0-2.5","14"
"Ashburn","1.5-2.0","36"
"Ashburn","2.5-3.0","5"
"Ashburn","3.0-3.5","1"
"Ashburn","4.0-4.5","1"
"Ashburn","4.5-5.0","1"
"Gage Park","0.0-0.5","1778"
"Gage Park","0.5-1.0","835"
"Gage Park","1.0-1.5","76"
"Gage Park","2.5-3.0","3"
"Gage Park","1.5-2.0","19"
"Gage Park","2.0-2.5","10"
"Gage Park","4.0-4.5","1"
"Gage Park","3.5-4.0","1"
"Gage Park","3.0-3.5","2"
"Fuller Park","0.0-0.5","4963"
"Fuller Park","0.5-1.0","663"
"Fuller Park","1.0-1.5","72"
"Fuller Park","1.5-2.0","13"
"Fuller Park","2.0-2.5","5"
"Fuller Park","3.0-3.5","2"
"Fuller Park","4.0-4.5","2"
"Fuller Park","2.5-3.0","3"
"Fuller Park","3.5-4.0","1"
"South Shore","0.0-0.5","18366"
"South Shore","0.5-1.0","4815"
"South Shore","1.0-1.5","336"
"South Shore","1.5-2.0","77"
"South Shore","2.0-2.5","39"
"South Shore","2.5-3.0","18"
"South Shore","3.0-3.5","12"
"South Shore","4.0-4.5","6"
"South Shore","3.5-4.0","2"
"South Shore","4.5-5.0","1"
"Douglas","0.0-0.5","49807"
"Douglas","0.5-1.0","3977"
"Douglas","1.5-2.0","127"
"Douglas","1.0-1.5","670"
"Douglas","3.0-3.5","22"
"Douglas","3.5-4.0","15"
"Douglas","4.0-4.5","11"
"Douglas","2.0-2.5","74"
"Douglas","4.5-5.0","9"
"Douglas","2.5-3.0","30"
"North Center","0.0-0.5","82914"
"North Center","0.5-1.0","19573"
"North Center","1.5-2.0","81"
"North Center","1.0-1.5","965"
"North Center","3.0-3.5","20"
"North Center","3.5-4.0","12"
"North Center","2.5-3.0","12"
"North Center","2.0-2.5","39"
"North Center","4.0-4.5","8"
"North Center","4.5-5.0","5"
"Dunning","0.0-0.5","7693"
"Dunning","0.5-1.0","2804"
"Dunning","1.0-1.5","324"
"Dunning","1.5-2.0","89"
"Dunning","2.5-3.0","10"
"Dunning","2.0-2.5","39"
"Dunning","3.5-4.0","4"
"Dunning","3.0-3.5","2"
"Irving Park","0.0-0.5","76662"
"Irving Park","0.5-1.0","10480"
"Irving Park","1.0-1.5","881"
"Irving Park","1.5-2.0","174"
"Irving Park","2.0-2.5","75"
"Irving Park","4.0-4.5","11"
"Irving Park","3.5-4.0","21"
"Irving Park","2.5-3.0","46"
"Irving Park","3.0-3.5","22"
"Irving Park","4.5-5.0","4"
"Jefferson Park","0.0-0.5","37264"
"Jefferson Park","0.5-1.0","8029"
"Jefferson Park","3.0-3.5","16"
"Jefferson Park","1.0-1.5","1187"
"Jefferson Park","3.5-4.0","12"
"Jefferson Park","2.0-2.5","40"
"Jefferson Park","1.5-2.0","110"
"Jefferson Park","4.0-4.5","6"
"Jefferson Park","2.5-3.0","19"
"Jefferson Park","4.5-5.0","3"
"Austin","0.0-0.5","13057"
"Austin","0.5-1.0","7184"
"Austin","2.5-3.0","2"
"Austin","1.5-2.0","39"
"Austin","1.0-1.5","351"
"Austin","2.0-2.5","18"
"Austin","3.0-3.5","1"
"Austin","3.5-4.0","5"
"Austin","4.5-5.0","1"
"Austin","4.0-4.5","2"
"Hermosa","0.0-0.5","5897"
"Hermosa","0.5-1.0","1910"
"Hermosa","1.5-2.0","6"
"Hermosa","1.0-1.5","89"
"Hermosa","3.5-4.0","1"
"Hermosa","2.5-3.0","1"
"Belmont Cragin","0.0-0.5","12793"
"Belmont Cragin","0.5-1.0","4286"
"Belmont Cragin","1.0-1.5","266"
"Belmont Cragin","2.0-2.5","10"
"Belmont Cragin","1.5-2.0","23"
"Belmont Cragin","3.5-4.0","2"
"Belmont Cragin","2.5-3.0","5"
"Belmont Cragin","4.5-5.0","1"
"Belmont Cragin","4.0-4.5","3"
"Belmont Cragin","3.0-3.5","4"
"McKinley Park","0.0-0.5","10139"
"McKinley Park","0.5-1.0","821"
"McKinley Park","3.0-3.5","25"
"McKinley Park","1.0-1.5","166"
"McKinley Park","3.5-4.0","21"
"McKinley Park","1.5-2.0","53"
"McKinley Park","2.5-3.0","32"
"McKinley Park","2.0-2.5","52"
"McKinley Park","4.0-4.5","25"
"McKinley Park","4.5-5.0","25"
"Brighton Park","0.0-0.5","3383"
"Brighton Park","0.5-1.0","962"
"Brighton Park","1.0-1.5","90"
"Brighton Park","2.0-2.5","3"
"Brighton Park","1.5-2.0","14"
"Brighton Park","2.5-3.0","2"
"Brighton Park","3.5-4.0","1"
"Brighton Park","4.5-5.0","1"
"Brighton Park","4.0-4.5","1"
"Portage Park","0.0-0.5","30802"
"Portage Park","0.5-1.0","5953"
"Portage Park","2.0-2.5","21"
"Portage Park","1.0-1.5","481"
"Portage Park","1.5-2.0","93"
"Portage Park","3.5-4.0","7"
"Portage Park","2.5-3.0","12"
"Portage Park","3.0-3.5","4"
"Portage Park","4.5-5.0","1"
"Portage Park","4.0-4.5","3"
"South Lawndale","0.0-0.5","7704"
"South Lawndale","2.5-3.0","7"
"South Lawndale","0.5-1.0","2072"
"South Lawndale","2.0-2.5","11"
"South Lawndale","1.0-1.5","174"
"South Lawndale","1.5-2.0","24"
"South Lawndale","3.0-3.5","3"
"South Lawndale","4.5-5.0","1"
"South Lawndale","4.0-4.5","3"
"West Englewood","0.0-0.5","3415"
"West Englewood","0.5-1.0","1361"
"West Englewood","1.0-1.5","100"
"West Englewood","1.5-2.0","17"
"West Englewood","3.0-3.5","3"
"West Englewood","2.5-3.0","1"
"West Englewood","2.0-2.5","5"
"West Englewood","3.5-4.0","1"
"West Englewood","4.0-4.5","1"
"Forest Glen","0.0-0.5","12230"
"Forest Glen","0.5-1.0","2150"
"Forest Glen","1.5-2.0","36"
"Forest Glen","1.0-1.5","133"
"Forest Glen","3.0-3.5","8"
"Forest Glen","2.0-2.5","16"
"Forest Glen","2.5-3.0","4"
"Forest Glen","4.0-4.5","1"
"Forest Glen","3.5-4.0","2"
"Woodlawn","0.0-0.5","15101"
"Woodlawn","0.5-1.0","3416"
"Woodlawn","1.0-1.5","394"
"Woodlawn","1.5-2.0","60"
"Woodlawn","2.0-2.5","27"
"Woodlawn","3.0-3.5","7"
"Woodlawn","4.0-4.5","2"
"Woodlawn","4.5-5.0","6"
"Woodlawn","2.5-3.0","13"
"Woodlawn","3.5-4.0","2"
"Auburn Gresham","0.0-0.5","6620"
"Auburn Gresham","0.5-1.0","3269"
"Auburn Gresham","4.0-4.5","2"
"Auburn Gresham","1.0-1.5","254"
"Auburn Gresham","1.5-2.0","31"
"Auburn Gresham","2.0-2.5","5"
"Auburn Gresham","2.5-3.0","3"
"Auburn Gresham","3.5-4.0","2"
"Auburn Gresham","3.0-3.5","3"
"Clearing","0.0-0.5","3674"
"Clearing","0.5-1.0","2092"
"Clearing","1.0-1.5","152"
"Clearing","2.0-2.5","11"
"Clearing","1.5-2.0","15"
"Clearing","2.5-3.0","3"
"Clearing","4.0-4.5","1"
"New City","0.5-1.0","1244"
"New City","0.0-0.5","7009"
"New City","1.5-2.0","17"
"New City","1.0-1.5","136"
"New City","2.0-2.5","6"
"New City","3.0-3.5","2"
"New City","4.5-5.0","1"
"Hegewisch","0.0-0.5","580"
"Hegewisch","0.5-1.0","455"
"Hegewisch","1.0-1.5","45"
"Hegewisch","1.5-2.0","3"
"Hegewisch","3.0-3.5","1"
"West Lawn","0.5-1.0","1156"
"West Lawn","0.0-0.5","1549"
"West Lawn","1.0-1.5","136"
"West Lawn","1.5-2.0","14"
"West Lawn","2.0-2.5","7"
"West Lawn","2.5-3.0","1"
"West Lawn","4.0-4.5","1"
"Norwood Park","0.0-0.5","23237"
"Norwood Park","0.5-1.0","5288"
"Norwood Park","3.5-4.0","7"
"Norwood Park","1.0-1.5","670"
"Norwood Park","2.0-2.5","36"
"Norwood Park","1.5-2.0","132"
"Norwood Park","4.5-5.0","7"
"Norwood Park","2.5-3.0","14"
"Norwood Park","3.0-3.5","6"
"Norwood Park","4.0-4.5","5"
"Edison Park","0.0-0.5","3942"
"Edison Park","0.5-1.0","533"
"Edison Park","1.0-1.5","42"
"Edison Park","3.0-3.5","2"
"Edison Park","2.0-2.5","3"
"Edison Park","1.5-2.0","1"
"North Park","1.5-2.0","59"
"North Park","0.0-0.5","18937"
"North Park","0.5-1.0","3575"
"North Park","1.0-1.5","245"
"North Park","2.0-2.5","38"
"North Park","2.5-3.0","4"
"North Park","4.0-4.5","5"
"North Park","3.0-3.5","4"
"North Park","3.5-4.0","5"
"North Park","4.5-5.0","2"
"Washington Park","0.0-0.5","5814"
"Washington Park","0.5-1.0","1144"
"Washington Park","1.5-2.0","13"
"Washington Park","1.0-1.5","93"
"Washington Park","2.0-2.5","6"
"Washington Park","3.0-3.5","1"
"Calumet Heights","0.5-1.0","2038"
"Calumet Heights","0.0-0.5","3629"
"Calumet Heights","1.5-2.0","20"
"Calumet Heights","1.0-1.5","114"
"Calumet Heights","2.5-3.0","3"
"Calumet Heights","2.0-2.5","9"
"Calumet Heights","3.0-3.5","1"
"South Deering","0.0-0.5","3320"
"South Deering","0.5-1.0","1587"
"South Deering","1.0-1.5","110"
"South Deering","1.5-2.0","13"
"South Deering","2.0-2.5","5"
"South Deering","2.5-3.0","2"
"South Deering","3.0-3.5","1"
"Chatham","0.0-0.5","13028"
"Chatham","0.5-1.0","3906"
"Chatham","1.0-1.5","340"
"Chatham","3.5-4.0","4"
"Chatham","1.5-2.0","63"
"Chatham","3.0-3.5","7"
"Chatham","2.0-2.5","16"
"Chatham","4.0-4.5","2"
"Chatham","2.5-3.0","4"
"East Garfield Park","0.0-0.5","11045"
"East Garfield Park","0.5-1.0","2207"
"East Garfield Park","1.0-1.5","200"
"East Garfield Park","1.5-2.0","31"
"East Garfield Park","3.0-3.5","8"
"East Garfield Park","2.5-3.0","5"
"East Garfield Park","3.5-4.0","4"
"East Garfield Park","2.0-2.5","13"
"East Garfield Park","4.5-5.0","2"
"East Garfield Park","4.0-4.5","1"
"Oakland","0.0-0.5","7770"
"Oakland","0.5-1.0","888"
"Oakland","1.0-1.5","117"
"Oakland","1.5-2.0","19"
"Oakland","3.0-3.5","4"
"Oakland","2.5-3.0","6"
"Oakland","2.0-2.5","5"
"Oakland","4.0-4.5","1"
"Oakland","3.5-4.0","2"
"West Elsdon","0.0-0.5","1330"
"West Elsdon","0.5-1.0","762"
"West Elsdon","1.0-1.5","73"
"West Elsdon","2.0-2.5","4"
"West Elsdon","1.5-2.0","8"
"West Elsdon","2.5-3.0","2"
"West Elsdon","3.0-3.5","1"
"East Side","0.5-1.0","666"
"East Side","0.0-0.5","450"
"East Side","1.0-1.5","64"
"East Side","2.5-3.0","4"
"East Side","2.0-2.5","3"
"East Side","1.5-2.0","8"
"East Side","3.5-4.0","1"
"Washington Heights","0.5-1.0","2600"
"Washington Heights","0.0-0.5","5855"
"Washington Heights","1.0-1.5","186"
"Washington Heights","1.5-2.0","29"
"Washington Heights","2.5-3.0","3"
"Washington Heights","4.0-4.5","2"
"Washington Heights","3.5-4.0","2"
"Washington Heights","4.5-5.0","2"
"Washington Heights","3.0-3.5","1"
"Washington Heights","2.0-2.5","2"
"Englewood","0.0-0.5","7158"
"Englewood","0.5-1.0","1746"
"Englewood","1.0-1.5","178"
"Englewood","1.5-2.0","31"
"Englewood","2.0-2.5","15"
"Englewood","4.5-5.0","1"
"Englewood","2.5-3.0","7"
"Englewood","3.0-3.5","3"
"Englewood","3.5-4.0","2"
"Chicago Lawn","0.5-1.0","1895"
"Chicago Lawn","0.0-0.5","3082"
"Chicago Lawn","1.0-1.5","162"
"Chicago Lawn","3.0-3.5","4"
"Chicago Lawn","1.5-2.0","20"
"Chicago Lawn","2.0-2.5","9"
"Chicago Lawn","2.5-3.0","6"
"Chicago Lawn","3.5-4.0","2"
"Montclare","0.0-0.5","1569"
"Montclare","0.5-1.0","986"
"Montclare","2.0-2.5","3"
"Montclare","1.0-1.5","60"
"Montclare","2.5-3.0","2"
"Montclare","1.5-2.0","3"
"Montclare","3.5-4.0","1"
"North Lawndale","0.0-0.5","9205"
"North Lawndale","0.5-1.0","2528"
"North Lawndale","1.0-1.5","123"
"North Lawndale","2.5-3.0","5"
"North Lawndale","2.0-2.5","8"
"North Lawndale","1.5-2.0","22"
"North Lawndale","3.0-3.5","6"
"North Lawndale","4.0-4.5","1"
"North Lawndale","3.5-4.0","2"
"Avalon Park","0.0-0.5","2988"
"Avalon Park","0.5-1.0","1300"
"Avalon Park","1.0-1.5","139"
"Avalon Park","2.5-3.0","7"
"Avalon Park","2.0-2.5","18"
"Avalon Park","1.5-2.0","61"
"Avalon Park","4.0-4.5","4"
"Avalon Park","3.0-3.5","14"
"Avalon Park","4.5-5.0","1"
"Avalon Park","3.5-4.0","4"
"West Garfield Park","0.0-0.5","3716"
"West Garfield Park","0.5-1.0","976"
"West Garfield Park","1.0-1.5","48"
"West Garfield Park","3.0-3.5","2"
"West Garfield Park","1.5-2.0","9"
"West Garfield Park","2.5-3.0","1"
"Burnside","0.0-0.5","1373"
"Burnside","0.5-1.0","457"
"Burnside","1.0-1.5","17"
"Burnside","2.0-2.5","1"
"Burnside","2.5-3.0","2"
"Burnside","1.5-2.0","4"
"Burnside","3.0-3.5","1"
"South Chicago","0.0-0.5","5079"
"South Chicago","0.5-1.0","2914"
"South Chicago","1.0-1.5","212"
"South Chicago","1.5-2.0","47"
"South Chicago","2.5-3.0","5"
"South Chicago","2.0-2.5","17"
"South Chicago","4.5-5.0","1"
"South Chicago","4.0-4.5","1"
"South Chicago","3.5-4.0","4"
"South Chicago","3.0-3.5","4"
"Mount Greenwood","0.0-0.5","800"
"Mount Greenwood","0.5-1.0","540"
"Mount Greenwood","1.0-1.5","57"
"Mount Greenwood","1.5-2.0","9"
"Mount Greenwood","2.0-2.5","1"
"Mount Greenwood","2.5-3.0","1"
"Morgan Park","0.5-1.0","1949"
"Morgan Park","0.0-0.5","4125"
"Morgan Park","1.0-1.5","230"
"Morgan Park","1.5-2.0","41"
"Morgan Park","2.0-2.5","12"
"Morgan Park","3.0-3.5","2"
"Morgan Park","3.5-4.0","1"
"Morgan Park","4.0-4.5","2"
"Riverdale","0.0-0.5","1056"
"Riverdale","0.5-1.0","701"
"Riverdale","1.0-1.5","66"
"Riverdale","1.5-2.0","2"
"Riverdale","2.0-2.5","1"
"Riverdale","4.0-4.5","1"
"Beverly","0.0-0.5","2324"
"Beverly","0.5-1.0","1752"
"Beverly","1.0-1.5","140"
"Beverly","1.5-2.0","20"
"Beverly","3.0-3.5","1"
"Beverly","2.0-2.5","3"
"Pullman","0.0-0.5","2866"
"Pullman","0.5-1.0","975"
"Pullman","1.0-1.5","62"
"Pullman","1.5-2.0","12"
"Pullman","4.0-4.5","1"
"Pullman","3.5-4.0","2"
"Pullman","2.0-2.5","1"
"Pullman","2.5-3.0","1"
"Pullman","3.0-3.5","1"
"West Pullman","0.0-0.5","3882"
"West Pullman","0.5-1.0","2561"
"West Pullman","1.0-1.5","268"
"West Pullman","1.5-2.0","23"
"West Pullman","2.0-2.5","4"
"West Pullman","4.0-4.5","3"
"West Pullman","3.5-4.0","1"
"West Pullman","3.0-3.5","2"
